City,State,County,Region,Division,Latitude,Longitude,Population,Asian,White,Black,Indian,Hispanic,Hawaiian,Other,Females,Males,Median_age,Median_female_age,Median_male_age,Households,Persons_per_household,Household_income
Sarona,Wisconsin,Barron,Midwest,East North Central,45.719428,-91.770073,1955,10,1469,3,11,5,1,2,719,767,51.6,52.2,51.0,663,2.22,36150.0
Sauk City,Wisconsin,Columbia,Midwest,East North Central,43.26063,-89.793297,5748,36,5570,34,42,222,5,125,2933,2814,41.1,42.1,40.4,2311,2.44,41597.0
Saukville,Wisconsin,Ozaukee,Midwest,East North Central,43.410544,-87.980605,6011,30,5605,70,46,157,5,43,2795,2920,40.4,41.5,39.0,2279,2.51,53963.0
Saxon,Wisconsin,Ashland,Midwest,East North Central,46.501702,-90.444934,552,1,498,9,306,16,0,0,391,404,38.1,39.3,37.3,303,2.62,25813.0
Sayner,Wisconsin,Vilas,Midwest,East North Central,46.014852,-89.535025,570,2,582,4,2,16,0,6,288,301,50.6,50.3,50.9,264,2.23,34464.0
Scandinavia,Wisconsin,Portage,Midwest,East North Central,44.460729,-89.173262,1220,6,1316,5,4,9,0,9,642,695,44.6,45.3,44.1,546,2.45,45927.0
Schofield,Wisconsin,Marathon,Midwest,East North Central,44.895138,-89.527128,19180,1526,16766,233,176,358,19,176,9320,9260,36.3,37.2,35.4,7335,2.5,45519.0
Seneca,Wisconsin,Crawford,Midwest,East North Central,43.291831,-90.985411,153,3,151,0,0,0,0,0,74,79,41.5,45.0,39.5,62,2.47,37500.0
Seymour,Wisconsin,Brown,Midwest,East North Central,44.501453,-88.305274,7964,31,7158,56,397,114,5,42,3769,3770,38.5,40.0,36.8,2909,2.59,50199.0
Sharon,Wisconsin,Rock,Midwest,East North Central,42.537034,-88.732524,1960,17,2020,11,12,286,0,192,1089,1126,37.5,37.6,37.5,821,2.7,41694.0
Shawano,Wisconsin,Menominee,Midwest,East North Central,44.753555,-88.668795,17400,99,15254,117,1721,394,15,157,8713,8289,44.1,45.5,42.9,7226,2.28,36527.0
Sheboygan,Wisconsin,Sheboygan,Midwest,East North Central,43.706994,-87.743121,65027,5175,55379,1445,602,5169,58,2286,32021,31470,25.97,26.77,25.27,26018,1.616666,30181.0
Sheboygan Falls,Wisconsin,Sheboygan,Midwest,East North Central,43.74108,-87.851031,11489,155,10936,87,60,297,11,159,5733,5534,43.8,45.0,42.5,4856,2.31,48660.0
Sheldon,Wisconsin,Chippewa,Midwest,East North Central,45.322242,-90.86394,1452,4,1691,3,5,27,0,11,838,869,40.8,40.6,40.9,639,2.67,34511.0
Shell Lake,Wisconsin,Burnett,Midwest,East North Central,45.742158,-92.017883,3308,14,2998,10,113,39,0,5,1615,1490,45.2,45.5,44.8,1282,2.37,33654.0
Sherwood,Wisconsin,Calumet,Midwest,East North Central,44.180945,-88.274179,2687,32,2539,31,14,36,1,14,1303,1297,40.1,39.9,40.2,950,2.74,63804.0
Shiocton,Wisconsin,Outagamie,Midwest,East North Central,44.526368,-88.590873,3676,9,3635,8,25,155,0,81,1786,1944,41.0,41.5,40.5,1459,2.56,48523.0
Shullsburg,Wisconsin,Lafayette,Midwest,East North Central,42.587586,-90.230466,1688,17,2222,8,7,76,0,38,1132,1152,40.8,40.6,40.9,908,2.52,33934.0
Silver Lake,Wisconsin,Kenosha,Midwest,East North Central,42.554854,-88.170102,1723,8,2323,26,20,100,2,41,1158,1222,36.4,37.7,34.9,892,2.66,51850.0
Siren,Wisconsin,Burnett,Midwest,East North Central,45.770426,-92.405974,2751,13,2455,21,170,38,4,18,1288,1293,46.5,47.0,45.8,1141,2.23,32047.0
Sister Bay,Wisconsin,Door,Midwest,East North Central,45.18449,-87.104683,1720,4,1593,9,4,35,0,10,882,732,59.9,62.0,57.5,815,1.88,37024.0
Slinger,Wisconsin,Washington,Midwest,East North Central,43.324808,-88.26858,8194,90,8106,61,39,168,4,32,4159,4096,39.9,40.2,39.6,3184,2.58,57744.0
Sobieski,Wisconsin,Oconto,Midwest,East North Central,44.728532,-88.120692,3584,14,3330,10,27,22,0,5,1632,1730,39.9,39.5,40.4,1184,2.84,64469.0
Soldiers Grove,Wisconsin,Crawford,Midwest,East North Central,43.365548,-90.776691,1661,4,1766,8,8,20,0,2,893,885,46.7,46.7,46.8,725,2.37,30493.0
Solon Springs,Wisconsin,Bayfield,Midwest,East North Central,46.330052,-91.737495,3340,8,2741,10,75,13,3,0,1353,1446,49.2,49.6,48.8,1254,2.23,34911.0
Somerset,Wisconsin,Saint Croix,Midwest,East North Central,45.129962,-92.676982,6922,81,6639,92,72,209,2,108,3393,3471,34.4,34.3,34.6,2472,2.77,52736.0
South Milwaukee,Wisconsin,Milwaukee,Midwest,East North Central,42.911723,-87.860712,20866,299,19842,583,345,1699,9,576,10783,10373,40.3,41.6,38.9,9043,2.31,44310.0
South Range,Wisconsin,Douglas,Midwest,East North Central,46.555113,-91.930027,3517,28,3574,33,78,35,2,4,1775,1871,42.6,42.2,42.9,1389,2.56,43553.0
South Wayne,Wisconsin,Lafayette,Midwest,East North Central,42.579917,-89.899244,981,0,1280,8,2,14,0,2,612,678,42.6,44.4,40.8,509,2.53,38661.0
Sparta,Wisconsin,La Crosse,Midwest,East North Central,43.985775,-90.799666,17336,135,16611,288,149,781,23,421,8618,8759,39.6,40.2,39.0,6844,2.47,37351.0
Spencer,Wisconsin,Clark,Midwest,East North Central,44.751243,-90.327261,3665,24,4027,20,31,116,7,61,2069,2050,36.5,37.6,35.3,1544,2.66,41731.0
Spooner,Wisconsin,Burnett,Midwest,East North Central,45.875799,-91.90577,7252,39,6339,38,171,76,2,19,3325,3168,46.8,48.2,45.1,2803,2.27,32092.0
Spring Green,Wisconsin,Iowa,Midwest,East North Central,43.165262,-90.041148,3660,9,4040,28,45,56,2,6,2040,2037,44.8,46.0,42.9,1700,2.36,46435.0
Spring Valley,Wisconsin,Dunn,Midwest,East North Central,44.837888,-92.255904,2908,18,3184,14,16,35,2,8,1583,1638,40.8,41.3,40.3,1276,2.49,42813.0
Springbrook,Wisconsin,Washburn,Midwest,East North Central,45.942066,-91.6858,1124,6,1033,1,34,12,0,2,481,574,49.1,49.4,48.8,491,2.15,33200.0
Stanley,Wisconsin,Chippewa,Midwest,East North Central,44.878346,-90.924534,4445,36,5253,608,85,150,11,20,2221,3769,37.5,38.7,37.1,1779,2.51,32058.0
Star Lake,Wisconsin,Vilas,Midwest,East North Central,46.062182,-89.455267,39,0,35,0,0,0,0,0,17,18,61.3,60.5,61.5,17,2.06,36250.0
Star Prairie,Wisconsin,Polk,Midwest,East North Central,45.238178,-92.534457,1775,9,1792,3,17,19,0,4,868,941,40.7,39.7,41.1,711,2.54,51202.0
Stetsonville,Wisconsin,Marathon,Midwest,East North Central,45.054659,-90.276524,1196,3,1286,7,3,44,1,38,654,678,37.6,37.7,37.3,515,2.59,37708.0
Steuben,Wisconsin,Crawford,Midwest,East North Central,43.197784,-90.921872,333,0,409,0,3,3,0,1,191,220,36.4,36.8,36.0,148,2.78,34792.0
Stevens Point,Wisconsin,Portage,Midwest,East North Central,44.553864,-89.567606,35378,1589,36129,475,294,899,30,283,19383,18912,23.67,24.37,22.97,15200,1.573333,13244.0
Stitzer,Wisconsin,Grant,Midwest,East North Central,42.91967,-90.582124,425,0,486,1,0,1,0,1,225,262,40.3,42.5,39.4,174,2.8,35556.0
Stockbridge,Wisconsin,Calumet,Midwest,East North Central,44.075295,-88.304946,379,0,378,0,1,1,0,0,178,201,43.3,43.3,43.4,181,2.09,40481.0
Stockholm,Wisconsin,Pepin,Midwest,East North Central,44.497542,-92.242498,504,4,496,4,1,7,1,0,233,269,51.5,51.8,51.2,224,2.24,45833.0
Stoddard,Wisconsin,La Crosse,Midwest,East North Central,43.674367,-91.17742,2227,6,2468,17,15,24,1,4,1233,1268,46.0,46.0,46.0,1025,2.44,47813.0
Stone Lake,Wisconsin,Sawyer,Midwest,East North Central,45.81942,-91.505005,1960,0,1222,9,353,7,1,2,738,813,49.9,49.9,50.0,677,2.29,32244.0
Stoughton,Wisconsin,Dane,Midwest,East North Central,42.93215,-89.205772,19678,287,18875,329,114,340,11,88,9992,9435,41.7,42.6,40.9,7846,2.44,52787.0
Stratford,Wisconsin,Marathon,Midwest,East North Central,44.799904,-90.07316,4823,10,4933,22,23,61,0,22,2438,2546,39.1,39.1,39.0,1918,2.6,45022.0
Strum,Wisconsin,Eau Claire,Midwest,East North Central,44.556096,-91.383794,1877,8,2047,7,11,93,1,43,997,1104,41.1,41.2,41.1,813,2.53,36528.0
Sturgeon Bay,Wisconsin,Door,Midwest,East North Central,44.839983,-87.399715,19055,111,16663,185,242,449,5,207,8724,8479,48.0,49.2,46.7,7771,2.18,36162.0
Sturtevant,Wisconsin,Kenosha,Midwest,East North Central,42.698744,-87.93459,6728,125,6964,1166,83,464,20,147,3317,5012,38.3,40.8,36.9,2638,2.46,52056.0
Suamico,Wisconsin,Brown,Midwest,East North Central,44.634449,-88.030328,3955,11,4039,25,35,41,4,13,1991,2104,41.1,40.7,41.3,1522,2.68,63608.0
Sullivan,Wisconsin,Jefferson,Midwest,East North Central,43.026028,-88.60247,2527,11,2592,13,25,53,0,15,1313,1313,44.6,44.7,44.4,1104,2.38,49423.0
Summit Lake,Wisconsin,Langlade,Midwest,East North Central,45.387582,-89.184632,366,0,321,2,7,0,0,0,143,179,49.1,51.1,46.5,146,2.21,35250.0
Sun Prairie,Wisconsin,Dane,Midwest,East North Central,43.194622,-89.20792,37051,1481,32501,2403,309,1417,43,577,18558,17736,17.3,17.7,16.8,14066,1.285,27728.0
Superior,Wisconsin,Douglas,Midwest,East North Central,46.582901,-92.117275,30408,423,29231,689,1285,396,25,99,15625,15147,37.0,38.3,35.8,13146,2.25,33149.0
Suring,Wisconsin,Menominee,Midwest,East North Central,45.047354,-88.381109,3128,5,2739,12,279,42,2,22,1480,1533,48.0,48.7,47.3,1307,2.27,35098.0
Sussex,Wisconsin,Waukesha,Midwest,East North Central,43.148761,-88.245134,18625,349,18029,188,94,347,12,85,9337,9231,40.8,41.7,39.7,7021,2.64,63807.0
Taylor,Wisconsin,Jackson,Midwest,East North Central,44.28545,-91.090023,1032,11,1388,8,7,20,5,2,687,722,37.2,36.3,37.6,533,2.64,34474.0
Theresa,Wisconsin,Dodge,Midwest,East North Central,43.484238,-88.441716,1822,10,1981,10,18,27,0,12,985,1033,42.6,42.4,42.7,814,2.48,48882.0
Thiensville,Wisconsin,Ozaukee,Midwest,East North Central,43.22145,-87.948345,20962,752,18790,596,101,422,14,88,10390,9634,48.0,49.0,46.7,8235,2.42,85038.0
Thorp,Wisconsin,Clark,Midwest,East North Central,44.944818,-90.800376,3579,18,4242,14,28,44,1,11,2174,2112,35.6,35.9,35.2,1553,2.71,31929.0
Three Lakes,Wisconsin,Forest,Midwest,East North Central,45.832672,-89.097574,2362,3,1934,3,7,23,1,6,962,986,52.5,52.5,52.5,920,2.08,30259.0
Tigerton,Wisconsin,Shawano,Midwest,East North Central,44.715796,-89.054983,2194,15,2219,9,66,17,0,16,1134,1156,46.1,45.8,46.4,963,2.38,32143.0
Tomah,Wisconsin,Monroe,Midwest,East North Central,44.013434,-90.492966,15742,208,14732,359,484,439,36,154,7756,7932,39.8,39.9,39.7,6378,2.41,38337.0
Tomahawk,Wisconsin,Lincoln,Midwest,East North Central,45.514166,-89.728896,11112,45,9485,30,70,78,5,47,4795,4799,48.5,48.6,48.4,4230,2.23,37679.0
Tony,Wisconsin,Rusk,Midwest,East North Central,45.473372,-90.971819,706,5,704,9,6,12,0,2,346,374,46.8,47.2,46.0,283,2.54,38207.0
Townsend,Wisconsin,Langlade,Midwest,East North Central,45.291822,-88.616932,1057,2,993,1,28,6,0,1,475,543,59.0,58.7,59.2,486,2.09,28897.0
Trego,Wisconsin,Washburn,Midwest,East North Central,45.964132,-91.906778,1599,5,1312,4,32,9,0,7,669,676,50.7,49.8,51.5,597,2.25,35450.0
Trempealeau,Wisconsin,Trempealeau,Midwest,East North Central,44.066368,-91.446426,3115,19,3377,6,19,38,0,19,1688,1727,41.9,42.0,41.7,1424,2.4,42039.0
Trevor,Wisconsin,Kenosha,Midwest,East North Central,42.517352,-88.127868,6378,53,6107,60,44,321,2,120,3051,3259,38.0,38.7,37.4,2286,2.76,47778.0
Tripoli,Wisconsin,Lincoln,Midwest,East North Central,45.609993,-89.944556,533,1,383,0,3,7,0,3,166,221,52.4,53.3,51.8,189,2.05,23750.0
Turtle Lake,Wisconsin,Barron,Midwest,East North Central,45.410477,-92.17604,2571,7,2652,9,96,36,0,13,1348,1394,44.2,45.5,43.2,1189,2.31,37340.0
Twin Lakes,Wisconsin,Kenosha,Midwest,East North Central,42.52461,-88.242094,8078,46,7174,54,40,313,4,111,3646,3711,40.0,40.8,39.2,2842,2.59,51382.0
Two Rivers,Wisconsin,Kewaunee,Midwest,East North Central,44.22501,-87.618723,15220,330,14306,93,167,264,11,132,7507,7377,44.4,45.6,43.0,6405,2.31,42157.0
Union Grove,Wisconsin,Kenosha,Midwest,East North Central,42.70649,-88.041902,8462,70,9084,209,90,282,2,70,4843,4569,41.8,41.0,42.7,3366,2.53,51271.0
Unity,Wisconsin,Clark,Midwest,East North Central,44.82961,-90.316538,1146,6,1220,1,2,34,1,34,605,657,32.8,32.5,33.3,421,3.0,37212.0
Upson,Wisconsin,Iron,Midwest,East North Central,46.311772,-90.444972,51,0,60,0,2,0,0,0,26,34,50.0,43.5,53.0,29,2.07,16250.0
Valders,Wisconsin,Manitowoc,Midwest,East North Central,44.024904,-87.909882,1954,14,2214,7,21,70,0,22,1129,1130,41.3,41.4,41.3,909,2.49,48800.0
Van Dyne,Wisconsin,Fond Du Lac,Midwest,East North Central,43.878995,-88.508568,1452,14,1443,5,11,9,1,5,717,755,45.3,46.0,44.3,569,2.59,53681.0
Verona,Wisconsin,Dane,Midwest,East North Central,42.994872,-89.567738,20407,770,18124,353,91,449,18,186,9715,9510,39.3,39.9,38.5,7421,2.58,69745.0
Vesper,Wisconsin,Wood,Midwest,East North Central,44.452174,-89.992653,1526,5,1504,1,45,14,2,8,764,786,40.6,40.1,41.2,604,2.57,41893.0
Viola,Wisconsin,Richland,Midwest,East North Central,43.478415,-90.627541,1538,4,1481,12,9,25,0,22,761,755,44.4,43.4,45.1,597,2.51,32935.0
Viroqua,Wisconsin,Crawford,Midwest,East North Central,43.518834,-90.916312,8539,55,8313,93,61,80,3,26,4354,4073,44.2,45.4,42.7,3521,2.32,31462.0
Wabeno,Wisconsin,Forest,Midwest,East North Central,45.421685,-88.627729,1394,3,1245,4,273,16,4,11,777,719,43.5,42.4,44.6,634,2.36,36065.0
Waldo,Wisconsin,Sheboygan,Midwest,East North Central,43.64228,-87.964802,1471,14,1926,20,19,44,0,29,975,1006,40.9,40.8,41.1,722,2.74,51161.0
Wales,Wisconsin,Waukesha,Midwest,East North Central,43.005374,-88.377199,2778,23,2778,13,10,53,3,6,1403,1412,43.5,44.0,42.9,1044,2.7,75869.0
Walworth,Wisconsin,Walworth,Midwest,East North Central,42.53869,-88.597084,3568,27,3927,38,19,592,6,301,2205,2066,38.9,40.3,37.6,1607,2.62,48814.0
Warrens,Wisconsin,Jackson,Midwest,East North Central,44.160518,-90.447286,2349,7,2520,21,58,44,3,20,1231,1362,44.8,44.5,45.1,1068,2.41,36490.0
Washburn,Wisconsin,Bayfield,Midwest,East North Central,46.702833,-91.077753,2637,16,3170,31,292,47,8,18,1692,1697,48.0,49.4,46.4,1478,2.22,37440.0
Washington Island,Wisconsin,Door,Midwest,East North Central,45.361546,-86.882824,890,4,698,5,1,6,0,1,362,346,58.1,57.3,59.0,342,2.07,31146.0
Waterford,Wisconsin,Racine,Midwest,East North Central,42.787004,-88.209086,19080,172,18214,100,119,436,24,124,9158,9393,42.1,42.5,41.6,6963,2.66,64828.0
Waterloo,Wisconsin,Dane,Midwest,East North Central,43.16679,-88.960096,5229,34,4724,43,20,496,4,365,2542,2602,39.9,40.2,39.6,2034,2.52,50855.0
Watertown,Wisconsin,Dodge,Midwest,East North Central,43.132397,-88.726081,29817,309,29909,355,189,1858,21,760,15819,15315,38.85,39.95,37.8,11963,2.49,44938.5
Waukau,Wisconsin,Winnebago,Midwest,East North Central,43.988636,-88.7769,149,1,149,0,0,1,0,0,75,74,46.8,45.6,50.0,69,2.16,41042.0
Waukesha,Wisconsin,Waukesha,Midwest,East North Central,43.028244,-88.29505,94443,3335,87241,2467,629,9186,97,3035,48249,46766,28.0,28.78,27.25,37374,1.8625,42218.25
Waunakee,Wisconsin,Dane,Midwest,East North Central,43.184638,-89.471552,17521,271,16328,241,78,421,8,119,8600,8244,40.0,40.5,39.5,6282,2.66,59742.0
Waupaca,Wisconsin,Portage,Midwest,East North Central,44.31228,-89.130716,16377,74,15142,116,141,298,4,75,7607,7819,45.5,46.0,45.1,6322,2.28,40034.0
Waupun,Wisconsin,Dodge,Midwest,East North Central,43.640248,-88.742914,10954,75,12221,1431,173,274,31,102,5640,8270,37.5,41.2,35.5,4425,2.43,42745.0
Wausau,Wisconsin,Marathon,Midwest,East North Central,44.956927,-89.714022,56272,5324,48584,912,677,1294,59,512,27678,27296,26.4,27.67,25.07,22690,1.583333,28340.67
Wausaukee,Wisconsin,Marinette,Midwest,East North Central,45.40174,-87.8831,3024,22,2850,7,43,24,0,10,1415,1483,49.3,49.0,49.6,1289,2.25,33824.0
Wautoma,Wisconsin,Marquette,Midwest,East North Central,44.066681,-89.27827,6716,52,6783,54,93,668,10,259,3499,3618,46.4,48.1,44.5,3054,2.29,35305.0
Wauzeka,Wisconsin,Crawford,Midwest,East North Central,43.116297,-90.970733,1256,6,1307,15,8,14,0,8,653,679,38.7,39.1,38.1,517,2.58,35391.0
Webster,Wisconsin,Burnett,Midwest,East North Central,45.859214,-92.295856,4260,10,3398,43,378,52,3,21,1898,1869,49.3,49.6,49.1,1688,2.21,34982.0
West Bend,Wisconsin,Ozaukee,Midwest,East North Central,43.380904,-88.17084,49553,492,47592,644,348,1434,30,612,24941,24071,40.25,41.5,38.85,19400,2.495,54106.5
West Salem,Wisconsin,La Crosse,Midwest,East North Central,43.90449,-91.090669,7836,76,7480,67,54,72,2,18,3919,3700,40.0,40.7,39.1,2830,2.6,46262.0
Westboro,Wisconsin,Price,Midwest,East North Central,45.335027,-90.433963,749,6,878,1,4,34,0,19,438,455,42.9,43.0,42.8,388,2.3,32917.0
Westby,Wisconsin,La Crosse,Midwest,East North Central,43.655303,-90.846246,4743,16,4544,27,12,59,4,33,2300,2299,40.6,41.9,39.0,1771,2.56,33865.0
Westfield,Wisconsin,Adams,Midwest,East North Central,43.900046,-89.531644,3592,16,3533,15,40,98,1,34,1825,1779,44.9,46.2,43.7,1515,2.37,32477.0
Weyauwega,Wisconsin,Waupaca,Midwest,East North Central,44.315404,-88.922468,4042,9,4581,17,25,166,5,51,2269,2373,42.3,43.2,41.6,1837,2.48,43000.0
Weyerhaeuser,Wisconsin,Rusk,Midwest,East North Central,45.430606,-91.423996,691,0,894,9,14,6,0,4,429,481,49.2,50.4,47.7,408,2.23,28682.0
Wheeler,Wisconsin,Dunn,Midwest,East North Central,45.094091,-91.870806,1088,7,1075,15,6,20,1,15,523,580,38.6,39.8,37.6,419,2.63,36023.0
White Lake,Wisconsin,Langlade,Midwest,East North Central,45.247771,-88.744224,1673,6,1628,14,27,19,0,6,774,878,52.0,52.8,51.2,769,2.11,31477.0
Whitehall,Wisconsin,Trempealeau,Midwest,East North Central,44.391446,-91.288524,2744,16,3257,17,18,99,3,50,1662,1674,41.3,41.5,41.1,1274,2.45,35841.0
Whitelaw,Wisconsin,Manitowoc,Midwest,East North Central,44.190332,-87.79128,2043,17,2288,6,26,35,4,22,1127,1212,43.8,44.2,43.4,926,2.52,46759.0
Whitewater,Wisconsin,Jefferson,Midwest,East North Central,42.805249,-88.699958,16461,355,17557,644,137,1742,23,819,9422,9778,22.9,23.0,22.8,6615,2.36,37336.0
Wild Rose,Wisconsin,Portage,Midwest,East North Central,44.17281,-89.207651,3062,13,2922,8,20,97,0,47,1527,1462,52.1,53.5,51.3,1349,2.16,34566.0
Willard,Wisconsin,Clark,Midwest,East North Central,44.697966,-90.800656,698,3,654,2,10,5,1,2,317,351,49.7,49.6,49.8,294,2.24,29167.0
Williams Bay,Wisconsin,Walworth,Midwest,East North Central,42.576498,-88.538698,2832,34,2702,28,11,193,3,93,1461,1381,43.8,44.9,42.2,1177,2.36,53011.0
Wilmot,Wisconsin,Kenosha,Midwest,East North Central,42.512068,-88.183588,217,0,208,1,8,3,0,0,99,118,45.3,47.3,41.0,94,2.31,25000.0
Wilson,Wisconsin,Saint Croix,Midwest,East North Central,44.929547,-92.207112,982,7,973,5,7,20,2,8,462,527,41.0,43.2,39.5,377,2.6,50313.0
Wilton,Wisconsin,Monroe,Midwest,East North Central,43.834479,-90.497992,1589,12,1835,9,4,49,0,30,903,975,28.1,29.7,26.5,571,3.29,31900.0
Windsor,Wisconsin,Dane,Midwest,East North Central,43.202501,-89.342158,2496,59,2364,69,11,60,3,32,1273,1238,35.9,36.0,35.8,984,2.55,56812.0
Winnebago,Wisconsin,Winnebago,Midwest,East North Central,44.075084,-88.518548,836,2,590,205,33,18,1,6,52,784,40.7,29.0,41.0,0,0.0,0.0
Winneconne,Wisconsin,Waushara,Midwest,East North Central,44.125484,-88.765313,4678,20,4715,11,36,41,1,25,2392,2378,46.2,46.5,45.7,2011,2.37,54681.0
Winter,Wisconsin,Sawyer,Midwest,East North Central,45.810294,-90.899349,1661,8,1449,6,61,29,0,10,710,768,55.0,55.0,55.1,706,2.09,29886.0
Wisconsin Dells,Wisconsin,Adams,Midwest,East North Central,43.69647,-89.760225,10984,144,9478,103,518,768,9,328,5163,5235,42.2,43.5,41.1,4230,2.41,39162.0
Wisconsin Rapids,Wisconsin,Adams,Midwest,East North Central,44.348774,-89.73908,34871,877,33174,342,427,771,17,363,17660,17103,42.3,43.15,41.3,14852,2.31,40019.0
Withee,Wisconsin,Clark,Midwest,East North Central,45.038605,-90.607002,2232,9,2391,13,11,23,2,9,1188,1233,37.2,38.2,36.1,876,2.76,33690.0
Wittenberg,Wisconsin,Marathon,Midwest,East North Central,44.797542,-89.153727,2782,9,2904,24,206,179,9,122,1624,1599,42.3,43.6,41.3,1229,2.46,37228.0
Wonewoc,Wisconsin,Juneau,Midwest,East North Central,43.632276,-90.21327,1914,6,2295,8,12,36,0,21,1167,1162,44.2,45.3,43.1,951,2.43,31827.0
Woodford,Wisconsin,Lafayette,Midwest,East North Central,42.6489,-89.8626,69,0,68,0,0,1,0,1,33,36,44.5,45.5,43.7,31,2.23,0.0
Woodman,Wisconsin,Grant,Midwest,East North Central,43.043117,-90.835771,302,0,289,2,7,5,0,0,129,163,41.7,43.5,40.5,114,2.56,40469.0
Woodruff,Wisconsin,Oneida,Midwest,East North Central,45.95527,-89.695066,4618,17,5065,26,155,72,0,30,2662,2536,50.2,50.8,49.5,2378,2.15,35302.0
Woodville,Wisconsin,Saint Croix,Midwest,East North Central,44.946023,-92.267834,2334,33,2445,18,13,39,0,19,1223,1270,38.1,38.9,37.2,958,2.56,45658.0
Wrightstown,Wisconsin,Brown,Midwest,East North Central,44.332469,-88.169238,2898,36,2742,30,34,123,2,50,1393,1468,33.1,34.1,32.5,1042,2.75,53170.0
Wyocena,Wisconsin,Columbia,Midwest,East North Central,43.496086,-89.308149,419,1,416,0,9,7,0,0,238,181,54.2,62.3,46.4,138,2.15,41250.0
Zenda,Wisconsin,Walworth,Midwest,East North Central,42.513436,-88.484318,114,1,107,0,2,7,0,5,55,59,49.8,50.3,49.3,44,2.59,36667.0
Accoville,West Virginia,Logan,South,South Atlantic,37.766173,-81.785898,964,1,903,67,12,11,0,5,501,463,41.5,40.9,41.7,376,2.56,27422.0
Albright,West Virginia,Preston,South,South Atlantic,39.553523,-79.656392,1756,2,1821,14,11,9,1,3,881,955,43.0,43.3,42.8,755,2.43,26048.0
Alderson,West Virginia,Greenbrier,South,South Atlantic,37.750319,-80.69856,2939,41,4766,605,84,169,9,54,3275,2108,42.8,42.1,44.4,1838,2.3,24387.0
Alkol,West Virginia,Lincoln,South,South Atlantic,38.159716,-81.981461,977,0,1128,0,2,3,0,0,562,568,40.8,40.6,40.8,467,2.42,17266.0
Allen Junction,West Virginia,Wyoming,South,South Atlantic,37.5894,-81.3506,261,0,250,10,10,0,0,2,131,130,39.4,39.5,39.3,94,2.78,0.0
Alloy,West Virginia,Fayette,South,South Atlantic,38.130915,-81.260464,112,0,112,0,0,0,0,0,53,59,44.5,45.5,44.3,53,2.11,40938.0
Alma,West Virginia,Tyler,South,South Atlantic,39.423774,-80.830596,697,5,996,3,4,3,0,0,493,507,45.0,44.7,45.3,412,2.43,25282.0
Alum Bridge,West Virginia,Doddridge,South,South Atlantic,39.050826,-80.722907,329,1,352,1,2,1,0,1,168,186,44.8,49.0,42.3,156,2.27,27667.0
Alum Creek,West Virginia,Kanawha,South,South Atlantic,38.242374,-81.769882,2209,9,2757,7,11,32,0,12,1402,1380,41.6,41.9,41.3,1134,2.45,33194.0
Amherstdale,West Virginia,Logan,South,South Atlantic,37.831599,-81.724846,190,7,1099,40,3,3,0,0,594,546,43.8,45.5,42.1,451,2.48,26667.0
Amigo,West Virginia,Wyoming,South,South Atlantic,37.596598,-81.343997,33,1,152,1,0,0,0,0,74,80,44.3,49.0,39.3,68,2.26,0.0
Amma,West Virginia,Roane,South,South Atlantic,38.552344,-81.242101,268,6,259,0,0,3,0,0,136,128,46.5,48.2,41.7,111,2.38,25208.0
Anawalt,West Virginia,Mcdowell,South,South Atlantic,37.34397,-81.415084,138,2,633,44,1,1,3,2,353,322,45.4,45.3,45.6,283,2.39,16103.0
Anmoore,West Virginia,Harrison,South,South Atlantic,39.263838,-80.291079,602,5,593,5,2,9,0,4,309,293,36.6,38.1,35.5,236,2.55,25313.0
Ansted,West Virginia,Fayette,South,South Atlantic,38.148433,-81.103988,522,0,1857,40,5,16,1,5,968,934,46.1,47.3,44.3,795,2.32,26019.0
Apple Grove,West Virginia,Mason,South,South Atlantic,38.681653,-82.108134,1005,7,1030,2,10,5,1,0,526,508,41.1,41.4,40.8,424,2.44,24545.0
Arbovale,West Virginia,Pocahontas,South,South Atlantic,38.477236,-79.768025,468,4,585,0,5,7,1,1,293,297,51.2,52.0,50.8,277,2.13,21836.0
Arnett,West Virginia,Raleigh,South,South Atlantic,37.82164,-81.429158,159,2,603,1,10,0,0,0,303,301,43.4,43.9,41.4,220,2.75,35750.0
Arnoldsburg,West Virginia,Calhoun,South,South Atlantic,38.85079,-81.141031,831,1,1190,1,14,16,0,4,605,595,42.5,43.4,41.8,493,2.43,23889.0
Arthurdale,West Virginia,Preston,South,South Atlantic,39.492326,-79.82646,778,2,773,4,4,4,0,0,385,393,46.9,50.9,42.6,345,2.26,39792.0
Artie,West Virginia,Raleigh,South,South Atlantic,37.948798,-81.363341,230,0,207,5,0,0,0,0,102,108,40.0,39.0,41.0,81,2.59,14716.0
Asbury,West Virginia,Greenbrier,South,South Atlantic,37.820505,-80.573302,375,1,544,9,1,4,1,4,286,272,46.8,47.2,46.3,247,2.26,19479.0
Ashford,West Virginia,Boone,South,South Atlantic,38.189588,-81.687815,1066,2,1152,0,5,5,1,1,565,588,41.0,41.1,40.5,460,2.51,23964.0
Ashton,West Virginia,Mason,South,South Atlantic,38.60151,-82.105895,718,0,728,0,3,2,0,1,358,371,37.8,37.8,37.9,288,2.53,29911.0
Athens,West Virginia,Mercer,South,South Atlantic,37.442967,-80.940292,521,42,1938,93,5,19,2,5,1057,1006,23.2,23.6,23.0,645,2.22,29821.0
